N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
110,SK케미칼,"268,000","11,500",4.48%,"5,000","31,494","11,751",17.94,"265,166",12.16,30.49
111,키움증권,"120,000",500,-0.41%,"5,000","31,440","26,200",23.36,"43,769",3.2,27.63
112,롯데쇼핑,"111,000","1,500",-1.33%,"5,000","31,401","28,289",10.57,"37,185",-4.17,-7.7
113,메리츠화재,"25,700",200,-0.77%,500,"31,001","120,625",10.79,"203,962",6.5,16.91
114,만도,"64,700",300,0.47%,"1,000","30,381","46,957",24.35,"343,223",65.29,0.37
115,한솔케미칼,"268,000","2,500",0.94%,"5,000","30,378","11,335",41.9,"52,769",23.42,24.5
116,한화생명,"3,495",30,-0.85%,"5,000","30,355","868,530",7.4,"1,434,567",6.48,1.9
117,CJ,"104,000","2,500",2.46%,"5,000","30,344","29,177",17.6,"114,025",-274.41,1.89
118,포스코인터내셔널,"24,550",150,-0.61%,"5,000","30,289","123,375",13.05,"625,321",11.71,7.69
119,대우건설,"7,240",60,-0.82%,"5,000","30,091","415,623",9.97,"1,431,524",8.13,11.06
120,BGF리테일,"174,000","4,000",2.35%,"1,000","30,074","17,284",32.44,"62,267",23.76,18.6
121,DB하이텍,"67,200",900,1.36%,"5,000","29,836","44,399",18.89,"717,407",18.84,23.07
122,LG화학우,"387,500","2,000",-0.51%,"5,000","29,794","7,689",67.38,"8,989",16.87,N/A
123,KCC,"328,500","5,000",-1.50%,"5,000","29,192","8,886",11.38,"46,037",3.39,12.79
124,현대로템,"26,600","1,400",5.56%,"5,000","29,032","109,142",5.23,"5,151,152",61.57,2.84
125,제일기획,"24,450",550,-2.20%,200,"28,128","115,041",33.92,"216,325",16.96,16.11
126,DL이앤씨,"145,000",0,0.00%,"5,000","28,070","19,359",27.62,"104,640",N/A,N/A
127,한샘,"119,000","1,000",-0.83%,"1,000","28,005","23,534",19.73,"111,906",38.18,10.83
128,OCI,"114,000",500,-0.44%,"5,000","27,188","23,849",14.51,"113,407",-17.87,-9.89
129,신세계,"270,000",500,-0.18%,"5,000","26,582","9,845",27.77,"42,204",-83.15,-2.81
130,한화에어로스페이스,"52,300","1,200",-2.24%,"5,000","26,479","50,630",19.64,"913,818",11.85,4.78
131,효성첨단소재,"581,000","10,000",-1.69%,"5,000","26,028","4,480",11.27,"46,728",71.71,0.03
132,현대차우,"106,000","1,500",-1.40%,"5,000","25,818","24,357",58.97,"37,050",12.83,N/A
133,현대위아,"94,300",900,-0.95%,"5,000","25,645","27,195",7.88,"158,335",166.61,1.96
134,BNK금융지주,"7,780",90,1.17%,"5,000","25,358","325,935",38.09,"1,159,002",4.42,6.11
135,더존비즈온,"82,900","1,400",-1.66%,500,"25,152","30,341",39,"113,880",46.16,15.09
136,효성,"118,500",500,0.42%,"5,000","24,969","21,071",9.63,"65,980",88.57,-2.26
137,하이트진로,"34,550",50,-0.14%,"5,000","24,231","70,134",5.63,"211,353",29.89,8.23
